      ^2/2<num>$ ^mbàgtə̀/*mbàgtə̀$
      ^2/2<num>$ ^mbâ/*mbâ$
      ^2/2<num>$ ^mbɑ̌/*mbɑ̌$
      ^2/2<num>$ ^massa/*massa$
      ^2/2<num>$ ^marchés/*marchés$
      ^2/2<num>$ ^marché/*marché$
      ^2/2<num>$ ^lotə/*lotə$
      ^2/2<num>$ ^lɛ̀lə/*lɛ̀lə$
      ^2/2<num>$ ^lə̀ʼ/*lə̀ʼ$
      ^2/2<num>$ ^lɑ̂b/*lɑ̂b$
      ^2/2<num>$ ^laʼtə/*laʼtə$
      ^2/2<num>$ ^laŋ/*laŋ$
      ^2/2<num>$ ^Laii/*Laii$
      ^2/2<num>$ ^la/*la$
      ^2/2<num>$ ^kwìʼtə̌/*kwìʼtə̌$
      ^2/2<num>$ ^kwìn/*kwìn$
      ^2/2<num>$ ^kùnǐ/*kùnǐ$
      ^2/2<num>$ ^kǔm/*kǔm$
      ^2/2<num>$ ^Kristɔ̀/*Kristɔ̀$
      ^2/2<num>$ ^kì/*kì$
      ^2/2<num>$ ^kì/*kì$
      ^2/2<num>$ ^Ketcha/*Ketcha$
      ^2/2<num>$ ^kə̀bùʼ/*kə̀bùʼ$
      ^2/2<num>$ ^kə̂b/*kə̂b$
      ^2/2<num>$ ^kə̌ʼ/*kə̌ʼ$
      ^2/2<num>$ ^kʉ̂d/*kʉ̂d$
      ^2/2<num>$ ^kɑ̂bzìb/*kɑ̂bzìb$
      ^2/2<num>$ ^kapsiki/*kapsiki$
      ^2/2<num>$ ^kàmnkʉlə/*kàmnkʉlə$
      ^2/2<num>$ ^kǎm/*kǎm$
      ^2/2<num>$ ^kadtə̀/*kadtə̀$
      ^2/2<num>$ ^kad/*kad$
      ^2/2<num>$ ^jûncob/*jûncob$
      ^2/2<num>$ ^jûʼ/*jûʼ$
      ^2/2<num>$ ^haoussa/*haoussa$
      ^2/2<num>$ ^Ham/*Ham$
      ^2/2<num>$ ^guiziga/*guiziga$
      ^2/2<num>$ ^guidar/*guidar$
      ^2/2<num>$ ^ghubtə̀/*ghubtə̀$
      ^2/2<num>$ ^ghomala/*ghomala$'
      ^2/2<num>$ ^ghʉ̀dnì/*ghʉ̀dnì$
      ^2/2<num>$ ^Ghǎŋwàʼnì/*Ghǎŋwàʼnì$
      ^2/2<num>$ ^ghǎbndɑ/*ghǎbndɑ$
      ^2/2<num>$ ^Ghàʼ/*Ghàʼ$
      ^2/2<num>$ ^Ghà/*Ghà$
      ^2/2<num>$ ^ghâ/*ghâ$
      ^2/2<num>$ ^Gbaya/*Gbaya$
      ^2/2<num>$ ^Garoua/*Garoua$-^boulaii/*boulaii$
      ^2/2<num>$ ^foufouldé/*foufouldé$
      ^2/2<num>$ ^fǒn/*fǒn$
      ^2/2<num>$ ^feʼefeʼ/*feʼefeʼ$
      ^2/2<num>$ ^fɛd/*fɛd$
      ^2/2<num>$ ^fə̂/*fə̂$
      ^2/2<num>$ ^fə̌ʼ/*fə̌ʼ$
      ^2/2<num>$ ^ewondo/*ewondo$
      ^2/2<num>$ ^éton/*éton$
      ^2/2<num>$ ^ɛ/*ɛ$
      ^2/2<num>$ ^duʼ/*duʼ$
      ^2/2<num>$ ^douala/*douala$
      ^2/2<num>$ ^Do/*Do$'^oka/*oka$
      ^2/2<num>$ ^dʉ̌ʼŋwàʼnǐ/*dʉ̌ʼŋwàʼnǐ$
      ^2/2<num>$ ^Dʉ̌ʼŋwàʼnì/*Dʉ̌ʼŋwàʼnì$
      ^2/2<num>$ ^Dir/*Dir$
      ^2/2<num>$ ^dibom/*dibom$
      ^2/2<num>$ ^diàg/*diàg$
      ^2/2<num>$ ^des/*des$
      ^2/2<num>$ ^cubə/*cubə$
      ^2/2<num>$ ^Courtès/*Courtès$
      ^2/2<num>$ ^cɔsì/*cɔsì$
      ^2/2<num>$ ^cog/*cog$
